
File                                                                     Line Match                                    
D:\Ritesh\mwp\client\src\app\corporate-gifting\page.js                    434 THE RHOSEATTE PROCESS                    
D:\Ritesh\mwp\client\src\app\corporate-gifting\page.js                    771 Thank you for connecting with Rhoseatt...
D:\Ritesh\mwp\client\src\app\corporate-gifting\page.js                    883 <Image src="/logo.png" alt="RHOSEATTE"...
D:\Ritesh\mwp\client\src\app\corporate-gifting\page.js                    900 <a href="https://www.rhoseatte.com" ta...
D:\Ritesh\mwp\client\src\app\corporate-gifting\page.js                    902 www.rhoseatte.com                        
D:\Ritesh\mwp\client\src\app\corporate-gifting\page.js                    904 <a href="mailto:admin@rhoseatte.com" c...
D:\Ritesh\mwp\client\src\app\corporate-gifting\page.js                    906 admin@rhoseatte.com                      
D:\Ritesh\mwp\client\src\app\custom-perfume\page.js                        48 { id: "h6", category: "Fruity", name: ...
D:\Ritesh\mwp\client\src\app\custom-perfume\page.js                        50 { id: "h8", category: "Fresh", name: "...
D:\Ritesh\mwp\client\src\app\custom-perfume\page.js                        63 { id: "bot1", name: "Classic Heritage"...
D:\Ritesh\mwp\client\src\app\custom-perfume\page.js                        65 { id: "bot3", name: "Luxury Signature"...
D:\Ritesh\mwp\client\src\app\custom-perfume\page.js                       257 name: "RHOSEATTE Atelier",               
D:\Ritesh\mwp\client\src\app\custom-perfume\page.js                       889 <span className="text-[7px] uppercase ...
D:\Ritesh\mwp\client\src\app\faqs\page.js                                 218 href="mailto:admin@rhoseatte.com"        
D:\Ritesh\mwp\client\src\app\forgot-password\page.js                       55 RHOSEATTE                                
D:\Ritesh\mwp\client\src\app\forgot-password\page.js                       79 &copy; {new Date().getFullYear()} RHOS...
D:\Ritesh\mwp\client\src\app\forgot-password\page.js                       92 RHOSEATTE                                
D:\Ritesh\mwp\client\src\app\industries\page.js                             7 title: "Healthcare Segments | rhoseatte",
D:\Ritesh\mwp\client\src\app\resend-verification\page.js                   58 <span className="font-display text-2xl...
D:\Ritesh\mwp\client\src\app\resend-verification\page.js                   73 <p className="text-[10px] uppercase tr...
D:\Ritesh\mwp\client\src\app\resend-verification\page.js                   82 <span className="font-display text-2xl...
D:\Ritesh\mwp\client\src\app\return-policy\page.js                          5 title: "Returns & Refund Policy | Rhos...
D:\Ritesh\mwp\client\src\app\return-policy\page.js                          6 description: "Review Rhoseatte Fragran...
D:\Ritesh\mwp\client\src\app\return-policy\page.js                         18 description: "Submit video and order d...
D:\Ritesh\mwp\client\src\app\return-policy\page.js                         80 At <strong className="text-[#4A2478]">...
D:\Ritesh\mwp\client\src\app\return-policy\page.js                        220 As every Rhoseatte perfume is handcraf...
D:\Ritesh\mwp\client\src\app\return-policy\page.js                        232 Rhoseatte Fragrances reserves the righ...
D:\Ritesh\mwp\client\src\app\return-policy\page.js                        247 Email: <a href="mailto:customercare@rh...
D:\Ritesh\mwp\client\src\app\return-policy\page.js                        251 href="mailto:customercare@rhoseatte.com" 
D:\Ritesh\mwp\client\src\app\secret-collection\page.js                     60 Exclusive access reserved for members ...
D:\Ritesh\mwp\client\src\app\shipping-policy\page.js                        5 title: "Shipping & Delivery Policy | R...
D:\Ritesh\mwp\client\src\app\shipping-policy\page.js                        6 description: "Learn about Rhoseatte Fr...
D:\Ritesh\mwp\client\src\app\shipping-policy\page.js                       37 At <strong className="text-[#4A2478]">...
D:\Ritesh\mwp\client\src\app\shipping-policy\page.js                      105 <li>From time to time, Rhoseatte may o...
D:\Ritesh\mwp\client\src\app\shipping-policy\page.js                      147 In such situations, delivery timelines...
D:\Ritesh\mwp\client\src\app\shipping-policy\page.js                      157 Customers are responsible for providin...
D:\Ritesh\mwp\client\src\app\shipping-policy\page.js                      191 If your shipment appears delayed beyon...
D:\Ritesh\mwp\client\src\app\shipping-policy\page.js                      206 Rhoseatte Fragrances shall not be held...
D:\Ritesh\mwp\client\src\app\shipping-policy\page.js                      222 Email: <a href="mailto:customercare@rh...
D:\Ritesh\mwp\client\src\app\shipping-policy\page.js                      229 href="mailto:customercare@rhoseatte.com" 
D:\Ritesh\mwp\client\src\app\verify-otp\page.js                            93 <span className="font-display text-2xl...
D:\Ritesh\mwp\client\src\app\verify-otp\page.js                           109 <p className="text-[10px] uppercase tr...
D:\Ritesh\mwp\client\src\app\verify-otp\page.js                           118 <span className="font-display text-2xl...
D:\Ritesh\mwp\client\src\app\warranty\page.js                               5 title: "Return Policy | rhoseatte",      
D:\Ritesh\mwp\client\src\app\warranty\page.js                              90 <li><strong>Contact Support:</strong> ...
D:\Ritesh\mwp\client\src\app\warranty\page.js                             127 <li>Email: <strong>admin@rhoseatte.com...
D:\Ritesh\mwp\client\src\app\why-us\page.js                                15 title: "Why Rhoseatte | Artisanal Luxu...
D:\Ritesh\mwp\client\src\app\why-us\page.js                                16 description: "Discover the Rhoseatte d...
D:\Ritesh\mwp\client\src\app\why-us\page.js                                24 description: "Every Rhoseatte creation...
D:\Ritesh\mwp\client\src\app\why-us\page.js                                99 The Rhoseatte Olfactory Philosophy       
D:\Ritesh\mwp\client\src\app\why-us\page.js                               106 We reject the mass-produced, chemicall...
D:\Ritesh\mwp\client\src\app\why-us\page.js                               177 <th className="p-4 font-semibold text-...
D:\Ritesh\mwp\client\src\components\layout\Header.jsx                     167 href="https://www.instagram.com/rhosea...
D:\Ritesh\mwp\client\src\components\layout\Header.jsx                     176 href="https://www.facebook.com/rhoseatte"
D:\Ritesh\mwp\client\src\components\layout\Header.jsx                     357 RHOSEATTE                                
D:\Ritesh\mwp\client\src\components\products\SecretProductCard.jsx         79 RHOSEATTE                                
D:\Ritesh\mwp\client\src\components\sections\CorporateGiftingSection.jsx   92 src="/rhoseatte_gifting_box.png"         
D:\Ritesh\mwp\client\src\components\sections\CorporateGiftingSection.jsx   93 alt="Rhoseatte Luxury Corporate Perfum...
D:\Ritesh\mwp\client\src\components\sections\HeroSection.jsx               43 title: "Step Into the World of RHOSEAT...
D:\Ritesh\mwp\client\src\components\sections\HeroSection.jsx              139 <span className="font-display text-2xl...
D:\Ritesh\mwp\client\src\components\sections\HeroSection.jsx              214 <span className="luxe-eyebrow-dark">rh...
D:\Ritesh\mwp\client\src\components\sections\HeroSection3D.jsx            180 <span className="font-display italic t...
D:\Ritesh\mwp\client\src\components\sections\HeroSection3D.jsx            216 <span className="luxe-eyebrow-dark">rh...
D:\Ritesh\mwp\client\src\components\sections\HeroSectionStore.jsx          22 title: "Step Into the World of RHOSEAT...
D:\Ritesh\mwp\client\src\components\sections\HeroSectionStore.jsx         115 title: b.title || "RHOSEATTE",           
D:\Ritesh\mwp\client\src\components\sections\HeroSectionStore.jsx         247 House of Rhoseatte                       
D:\Ritesh\mwp\client\src\components\sections\HomeFAQSection.jsx            14 question: "Are RHOSEATTE fragrances lo...
D:\Ritesh\mwp\client\src\components\sections\HomeFAQSection.jsx            15 answer: "Yes, all RHOSEATTE perfumes a...
D:\Ritesh\mwp\client\src\components\sections\JewelryHomeSections.jsx      160 The RHOSEATTE Story                      
D:\Ritesh\mwp\client\src\components\sections\JewelryHomeSections.jsx      167 RHOSEATTE is a luxury perfume house de...
D:\Ritesh\mwp\client\src\components\sections\LuxuryMarquee.jsx             37 aria-label="RHOSEATTE highlights"        
D:\Ritesh\mwp\client\src\components\sections\ShopByCategory.jsx            12 image: "/rhoseatte.jpg",                 
D:\Ritesh\mwp\client\src\components\sections\ShopByCategory.jsx            40 image: "/rhoseatte.jpg",                 
D:\Ritesh\mwp\client\src\components\sections\SocialMediaSection.jsx         6 handle: "@rhoseatte",                    
D:\Ritesh\mwp\client\src\components\sections\SocialMediaSection.jsx         7 url: "https://www.instagram.com/rhosea...
D:\Ritesh\mwp\client\src\components\sections\SocialMediaSection.jsx        16 handle: "rhoseattefamily",               
D:\Ritesh\mwp\client\src\components\sections\SocialMediaSection.jsx        17 url: "https://www.facebook.com/rhoseat...
D:\Ritesh\mwp\client\src\components\sections\SocialMediaSection.jsx        21 desc: "Join our community for exclusiv...
D:\Ritesh\mwp\client\src\components\sections\TrustBadgesSection.jsx        48 The Rhoseatte <em className="italic te...
D:\Ritesh\mwp\client\src\components\sections\TrustSection.jsx              20 text: "Exquisite necklaces that are pe...
D:\Ritesh\mwp\client\src\components\sections\TrustSection.jsx              44 text: "I absolutely adore the festive ...
D:\Ritesh\mwp\client\src\components\sections\TrustSection.jsx             246 From customized wedding adornments to ...
D:\Ritesh\mwp\client\src\components\sections\WatchAndBuySection.jsx       488 href="https://www.instagram.com/rhosea...
D:\Ritesh\mwp\client\src\components\sections\WatchAndBuySection.jsx       494 @rhoseatte                               
D:\Ritesh\mwp\client\src\components\sections\WhyBuySection.jsx             47 src="/why-rhoseatte.jpg"                 
D:\Ritesh\mwp\client\src\components\sections\WhyBuySection.jsx             48 alt="Why RHOSEATTE"                      
D:\Ritesh\mwp\client\src\components\sections\WhyBuySection.jsx             62 The RHOSEATTE Promise                    
D:\Ritesh\mwp\client\src\components\sections\WhyBuySection.jsx             90 <span className="text-[10px] uppercase...
D:\Ritesh\mwp\client\src\components\ui\FloatingWhatsApp.jsx                 7 const message = encodeURIComponent("He...
D:\Ritesh\mwp\client\src\components\ui\SiteFX.jsx                          86 const LETTERS = "rhoseatte".split("");   
D:\Ritesh\mwp\client\src\context\AuthContext.jsx                           20 const savedUser = localStorage.getItem...
D:\Ritesh\mwp\client\src\context\AuthContext.jsx                           36 localStorage.removeItem("rhoseatte-use...
D:\Ritesh\mwp\client\src\context\CartContext.jsx                           21 const savedCart = localStorage.getItem...
D:\Ritesh\mwp\client\src\lib\cart-context.js                              321 image: bundleMeta.banner || "/rhoseatt...
D:\Ritesh\mwp\client\src\lib\guest-cart-utils.js                           13 const cartData = localStorage.getItem(...
D:\Ritesh\mwp\client\src\lib\guest-cart-utils.js                           59 image: customObj.image || customObj.im...
D:\Ritesh\mwp\client\src\lib\guest-cart-utils.js                           69 const apiBase = process.env.NEXT_PUBLI...
D:\Ritesh\mwp\client\src\lib\guest-cart-utils.js                          116 image: variant.images?.[0]?.url || var...
D:\Ritesh\mwp\client\src\lib\guest-cart-utils.js                          243 const apiBase = process.env.NEXT_PUBLI...
D:\Ritesh\mwp\client\src\lib\products.js                                    2 // rhoseatte Speakers                    
D:\Ritesh\mwp\client\src\lib\products.js                                    3 { id: 1, slug: "dj-1201", name: "DJ-12...
D:\Ritesh\mwp\client\src\lib\products.js                                    4 { id: 2, slug: "dj-1501", name: "DJ-15...
D:\Ritesh\mwp\client\src\lib\products.js                                    5 { id: 3, slug: "dj-1801", name: "DJ-18...
D:\Ritesh\mwp\client\src\lib\products.js                                   59 { name: "rhoseatte Speakers", slug: "d...
D:\Ritesh\mwp\client\src\lib\utils.js                                      14 : "https://api.rhoseatte.com/api");      
D:\Ritesh\mwp\front\vite.config.ts                                         19 "admin.rhoseatte.com",                   
D:\Ritesh\mwp\front\vite.config.ts                                         20 "www.admin.rhoseatte.com",               
D:\Ritesh\mwp\front\vite.config.ts                                         28 "admin.rhoseatte.com",                   
D:\Ritesh\mwp\front\vite.config.ts                                         29 "www.admin.rhoseatte.com",               
D:\Ritesh\mwp\front\src\api\api.ts                                          8 const baseURL = import.meta.env.VITE_A...
D:\Ritesh\mwp\front\src\components\NonApprovedPartnersTab.tsx              50 const [customPassword, setCustomPasswo...
D:\Ritesh\mwp\front\src\components\NonApprovedPartnersTab.tsx              84 setCustomPassword("rhoseatte");          
D:\Ritesh\mwp\front\src\components\NonApprovedPartnersTab.tsx              93 setCustomPassword("rhoseatte");          
D:\Ritesh\mwp\front\src\components\NonApprovedPartnersTab.tsx              97 const passwordToSend = customPassword....
D:\Ritesh\mwp\front\src\components\NonApprovedPartnersTab.tsx             470 <p>Partner dashboard: <strong>partner....
D:\Ritesh\mwp\front\src\config\api.ts                                       4 ? "https://api.rhoseatte.com/api"        
D:\Ritesh\mwp\front\src\pages\BundleCampaignCreatePage.tsx                686 <strong>Rule Guide (Example):</strong>...
D:\Ritesh\mwp\front\src\pages\ProductSections.tsx                        1284 to 15 products and helps organize rhos...
D:\Ritesh\mwp\front\src\translations\ar.json                              836 "approve_desc": "سيتمت الموافقة على هذ...
D:\Ritesh\mwp\front\src\translations\de.json                              814 "approve_desc": "Dieser Partner wird m...
D:\Ritesh\mwp\front\src\translations\en.json                              106 "description": "Configure payment meth...
D:\Ritesh\mwp\front\src\translations\en.json                              131 "description": "Configure Minimum Orde...
D:\Ritesh\mwp\front\src\translations\en.json                              159 "description": "Control price visibili...
D:\Ritesh\mwp\front\src\translations\en.json                             1100 "approve_desc": "This partner will be ...
D:\Ritesh\mwp\front\src\translations\en.json                             1694 "subtitle": "Overview of rhoseatte per...
D:\Ritesh\mwp\front\src\translations\en.json                             1698 "description": "Manage rhoseatte conte...
D:\Ritesh\mwp\front\src\translations\es.json                              829 "approve_desc": "Este socio será aprob...
D:\Ritesh\mwp\front\src\translations\fr.json                              829 "approve_desc": "Ce partenaire sera ap...
D:\Ritesh\mwp\front\src\translations\hi.json                              837 "approve_desc": "इस भागीदार को डेमो पा...
D:\Ritesh\mwp\front\src\translations\ja.json                              750 "approve_desc": "このパートナーはデモパスワード「rhose...
D:\Ritesh\mwp\front\src\translations\zh.json                              814 "approve_desc": "此合作伙伴将被批准并分配演示密码 \"rh...
D:\Ritesh\mwp\front\src\utils\bulkProductUtils.ts                         439 plainDescription || `Buy ${row.name.tr...
D:\Ritesh\mwp\partner\vite.config.js                                       20 "partner.rhoseatte.com",                 
D:\Ritesh\mwp\partner\vite.config.js                                       21 "www.partner.rhoseatte.com",             
D:\Ritesh\mwp\partner\vite.config.js                                       29 "partner.rhoseatte.com",                 
D:\Ritesh\mwp\partner\vite.config.js                                       30 "www.partner.rhoseatte.com",             
D:\Ritesh\mwp\partner\src\context\LangContext.jsx                          14 dashboard_subtitle: "Here's an overvie...
D:\Ritesh\mwp\partner\src\context\LangContext.jsx                         104 dashboard_subtitle: 'rhoseatte के साथ ...
D:\Ritesh\mwp\partner\src\pages\PartnerCoupons.jsx                        126 Manage and track your assigned coupon ...
D:\Ritesh\mwp\partner\src\pages\PartnerDashboard.jsx                      159 Here's an overview of your partnership...
D:\Ritesh\mwp\partner\src\pages\PartnerProfile.jsx                        122 Manage your account and business infor...
D:\Ritesh\mwp\server\.env                                                   4 # DATABASE_URL="postgresql://u_indianp...
D:\Ritesh\mwp\server\.env.production                                        4 # DATABASE_URL="postgresql://u_indianp...
D:\Ritesh\mwp\server\app.js                                                84 : ['https://rhoseatte.com', 'https://a...
D:\Ritesh\mwp\server\controllers\admin.order.controller.js                634 subject: `Your Order #${order.orderNum...
D:\Ritesh\mwp\server\controllers\admin.shiprocket.controller.js           513 subject: `Your Order #${order.orderNum...
D:\Ritesh\mwp\server\controllers\content.controller.js                    265 metaTitle: "Frequently Asked Questions...
D:\Ritesh\mwp\server\controllers\content.controller.js                    304 metaTitle: "Frequently Asked Questions...
D:\Ritesh\mwp\server\controllers\custom-perfume-order.controller.js       112 const adminEmail = process.env.ADMIN_E...
D:\Ritesh\mwp\server\controllers\custom-perfume-order.controller.js       122 <h2 style="color: #4A2478; margin-top:...
D:\Ritesh\mwp\server\controllers\custom-perfume-order.controller.js       124 <p>Thank you for creating your bespoke...
D:\Ritesh\mwp\server\controllers\custom-perfume-order.controller.js       148 subject: `RHOSEATTE Bespoke Order Conf...
D:\Ritesh\mwp\server\controllers\newsletter.controller.js                 135 const fromName = store.fromName || "RH...
D:\Ritesh\mwp\server\controllers\newsletter.controller.js                 136 const fromEmail = store.fromEmail || "...
D:\Ritesh\mwp\server\controllers\newsletter.controller.js                 141 <h1 style="color: #4A2478; margin: 0; ...
D:\Ritesh\mwp\server\controllers\partner.auth.controller.js               137 subject: 'Reset Your Partner Password ...
D:\Ritesh\mwp\server\controllers\payment.controller.js                   1631 subject: `Order #${order.orderNumber} ...
D:\Ritesh\mwp\server\controllers\secretAccess.controller.js               139 const activationUrl = `${process.env.C...
D:\Ritesh\mwp\server\controllers\secretAccess.controller.js               154 subject: "Your RHOSEATTE Secret Collec...
D:\Ritesh\mwp\server\controllers\secretAccess.controller.js               172 activationUrl: `${process.env.CLIENT_U...
D:\Ritesh\mwp\server\controllers\secretAccess.controller.js               382 const activationUrl = `${process.env.C...
D:\Ritesh\mwp\server\controllers\secretAccess.controller.js               397 subject: "Your RHOSEATTE Secret Collec...
D:\Ritesh\mwp\server\controllers\user.controller.js                       156 subject: "Your OTP for Email Verificat...
D:\Ritesh\mwp\server\controllers\user.controller.js                      1494 subject: `Order #${order.orderNumber} ...
D:\Ritesh\mwp\server\controllers\user.controller.js                      1843 subject: "Your OTP for Email Verificat...
D:\Ritesh\mwp\server\helper\generateAccessAndRefreshTokens.js              65 // The storefront (rhoseatte.com) and ...
D:\Ritesh\mwp\server\helper\generateAccessAndRefreshTokens.js              71 // e.g. COOKIE_DOMAIN=.rhoseatte.com s...
D:\Ritesh\mwp\server\middlewares\multer.middlerware.js                     36 const uploadFolder = process.env.UPLOA...
D:\Ritesh\mwp\server\middlewares\multer.middlerware.js                     83 const uploadFolder = process.env.UPLOA...
D:\Ritesh\mwp\server\middlewares\multer.middlerware.js                    111 const uploadFolder = process.env.UPLOA...
D:\Ritesh\mwp\server\middlewares\multer.middlerware.js                    140 const uploadFolder = process.env.UPLOA...
D:\Ritesh\mwp\server\routes\admin.flavor.routes.js                        127 const uploadFolder = process.env.UPLOA...
D:\Ritesh\mwp\server\routes\admin.flavor.routes.js                        228 const uploadFolder = process.env.UPLOA...
D:\Ritesh\mwp\server\scripts\seedBulkDemoProducts.js                       31 stripHtmlToPlain(description) || `Buy ...
D:\Ritesh\mwp\server\scripts\seedBulkProductCheck.js                       38 stripHtmlToPlain(description) || `Buy ...


